cb1c2c90-cdfb-477e-a47a-eb89383a0c34	TCGA-MY-A913-01Z-00-DX2.F5233D58-09FE-44ED-8F08-66A1BB6B33DB.svs	Biospecimen	Slide Image	TCGA-CESC	TCGA-MY-A913	TCGA-MY-A913-01Z	Primary Tumor
c64c19d9-71b3-43d3-af51-d519868ecad9	TCGA-MY-A913-01Z-00-DX3.19ACBF59-9114-4980-A44C-5ACF414A09CF.svs	Biospecimen	Slide Image	TCGA-CESC	TCGA-MY-A913	TCGA-MY-A913-01Z	Primary Tumor
a821b7b7-4816-4840-b9b4-bc6374a4c6a5	TCGA-VS-A9UB-01Z-00-DX1.4BC3DADC-AFDA-4F7B-A518-83C4DC6A2669.svs	Biospecimen	Slide Image	TCGA-CESC	TCGA-VS-A9UB	TCGA-VS-A9UB-01Z	Primary Tumor
74def3b4-babc-44b9-a201-dfc61897b103	TCGA-VS-A8QC-01Z-00-DX1.D9F4062C-0438-4D76-9BB2-674138A949BD.svs	Biospecimen	Slide Image	TCGA-CESC	TCGA-VS-A8QC	TCGA-VS-A8QC-01Z	Primary Tumor
5ee98d40-3bcf-475e-bf11-baf5ebd6f697	TCGA-Q1-A73O-01Z-00-DX1.305629EA-C987-4464-A4AD-730DFEB6CD0C.svs	Biospecimen	Slide Image	TCGA-CESC	TCGA-Q1-A73O	TCGA-Q1-A73O-01Z	Primary Tumor
306f33e0-2e4d-4b16-b422-6df8b5d61afa	TCGA-ZJ-AAXU-01Z-00-DX1.A692FCB2-F9FC-4328-9E81-60C7D44094EB.svs	Biospecimen	Slide Image	TCGA-CESC	TCGA-ZJ-AAXU	TCGA-ZJ-AAXU-01Z	Primary Tumor
9ae7a58b-02b5-435f-a6e2-4c650d16e647	TCGA-MA-AA42-01Z-00-DX1.060491AB-E11F-44DC-91CA-0AE68DE8C900.svs	Biospecimen	Slide Image	TCGA-CESC	TCGA-MA-AA42	TCGA-MA-AA42-01Z	Primary Tumor
e185f9c9-a0c9-4878-9e06-a1de38ec350c	TCGA-C5-A2LY-01Z-00-DX1.14B39C98-A637-44DB-93F3-7904A7F08182.svs	Biospecimen	Slide Image	TCGA-CESC	TCGA-C5-A2LY	TCGA-C5-A2LY-01Z	Primary Tumor
f53927b2-420c-4c89-9400-ff76d3f9702a	TCGA-C5-A1M7-01Z-00-DX1.5E02FF3D-8955-4747-A355-A39BBECE42B0.svs	Biospecimen	Slide Image	TCGA-CESC	TCGA-C5-A1M7	TCGA-C5-A1M7-01Z	Primary Tumor
55891523-4e81-455d-b774-b39b05a58d45	TCGA-LP-A4AV-01Z-00-DX1.42D4222F-9534-48B5-8478-2BA6E25F32BA.svs	Biospecimen	Slide Image	TCGA-CESC	TCGA-LP-A4AV	TCGA-LP-A4AV-01Z	Primary Tumor
5f6e6017-06f5-436c-8cb1-9ba87098e4fd	TCGA-C5-A901-01Z-00-DX1.44C62D0E-8DDC-4FF3-9D55-3CA9ED7BFFC0.svs	Biospecimen	Slide Image	TCGA-CESC	TCGA-C5-A901	TCGA-C5-A901-01Z	Primary Tumor
c9e5ce10-d474-46cb-8a0e-e1ed064528a7	TCGA-VS-A959-01Z-00-DX1.80E1CBEA-86F9-473B-8788-0D7D1B5A923C.svs	Biospecimen	Slide Image	TCGA-CESC	TCGA-VS-A959	TCGA-VS-A959-01Z	Primary Tumor
dd6fcae3-9900-429b-b89b-fd04146e3d7f	TCGA-C5-A7CG-01Z-00-DX1.42D2FD26-D8ED-49DA-AEF0-FCAD9DB6B4BD.svs	Biospecimen	Slide Image	TCGA-CESC	TCGA-C5-A7CG	TCGA-C5-A7CG-01Z	Primary Tumor
1ba94d1d-d6d6-492d-8670-5ec3010fc297	TCGA-ZJ-AB0H-01Z-00-DX1.1F0584E3-1E50-4755-BF3D-EB62502CB975.svs	Biospecimen	Slide Image	TCGA-CESC	TCGA-ZJ-AB0H	TCGA-ZJ-AB0H-01Z	Primary Tumor
09226d95-80b4-481a-82c4-762c17acb48a	TCGA-MY-A5BE-01Z-00-DX2.7152FFD0-9DD2-4B1A-AADC-8C00B156EBE0.svs	Biospecimen	Slide Image	TCGA-CESC	TCGA-MY-A5BE	TCGA-MY-A5BE-01Z	Primary Tumor
6e04183d-c36a-4447-8b31-fcf142fa6a48	TCGA-MY-A5BE-01Z-00-DX4.FEB6720A-6D9C-4EE7-9251-1BE636EA5269.svs	Biospecimen	Slide Image	TCGA-CESC	TCGA-MY-A5BE	TCGA-MY-A5BE-01Z	Primary Tumor
e4ec449c-992e-437a-90bc-b9e1336997bd	TCGA-JW-A5VH-01Z-00-DX1.1A81423C-5E6B-4766-947B-E7E32A7CDBA6.svs	Biospecimen	Slide Image	TCGA-CESC	TCGA-JW-A5VH	TCGA-JW-A5VH-01Z	Primary Tumor
821e284e-0846-466e-862a-3d8e80cc4b3a	TCGA-VS-A9V2-01Z-00-DX1.61AD73DF-4A1D-4398-9558-00ADAF82952A.svs	Biospecimen	Slide Image	TCGA-CESC	TCGA-VS-A9V2	TCGA-VS-A9V2-01Z	Primary Tumor
903ba271-9276-4ab2-9e9e-795ab8c04b64	TCGA-C5-A1MQ-01Z-00-DX1.DCC979DF-17B9-4C2C-BF99-84CE0CF13F62.svs	Biospecimen	Slide Image	TCGA-CESC	TCGA-C5-A1MQ	TCGA-C5-A1MQ-01Z	Primary Tumor
